"SMP","X","Y","RAMA","SUBRAMA"
"047-040A-019",-58.4554450065477,-34.5970342755147,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-105B-010A",-58.4539387060862,-34.5946709389925,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-106-007",-58.4544124140181,-34.5939007004923,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-144-020B",-58.4514946993196,-34.5935373000069,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-145-019",-58.4518801611709,-34.5924045456541,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-145-020B",-58.4517495101612,-34.592281977381,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-146-001A",-58.4531810317159,-34.5912503073278,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-162A-001",-58.447679455821,-34.5920532172412,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-162A-000N",-58.4475655158579,-34.592807118527,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-180-016",-58.4547258369316,-34.586836905224,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-180-021A",-58.4539334700697,-34.5872315173883,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-180-023",-58.4539103145744,-34.5871472210623,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-180-032",-58.4535339238218,-34.5863955912759,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-181-002",-58.4531499917875,-34.5865208666912,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"049-181-009",-58.4533938014752,-34.5872054397459,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-181-010A",-58.4536053639853,-34.5873262978742,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"049-181-017",-58.4529145091691,-34.5874845398858,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-181-020",-58.4526602520233,-34.5876608107621,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-193-000",-58.4533403659254,-34.5878473334034,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-085-008",-58.4538135863579,-34.5960991197872,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-124B-008",-58.4512376673923,-34.5947065354045,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-055-001D",-58.4402870715837,-34.5878627576256,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-002B-017",-58.4468764091507,-34.5913870099333,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-002B-021",-58.4472490231529,-34.5916373939088,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-002B-026",-58.4468660296514,-34.5918922296388,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-002B-029A",-58.4466226918525,-34.5921190130865,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-002B-030",-58.4465510286873,-34.5921849848023,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-005-004",-58.4460740389915,-34.5908136911245,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-005-008",-58.4464802345438,-34.5909737446676,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-005-009",-58.4465488686232,-34.5910361075379,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-005-024",-58.4456159159456,-34.5912766399421,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"033-006-001",-58.4462506708418,-34.5901835968441,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-013-011",-58.4461318730151,-34.5897973659603,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-014-001",-58.4462218468109,-34.588719671835,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-014-020A",-58.4465349017318,-34.5895801426256,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-022-008",-58.4442093859148,-34.5891163462362,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-022-024",-58.4441964985467,-34.5899961487877,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-023-008",-58.4449552591215,-34.5885279349516,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-023-028A",-58.4451056867822,-34.5893647897938,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-023-028B",-58.4450437670143,-34.5894192318758,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-023-029",-58.4449738224978,-34.5893277846524,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-034-010A",-58.4442442906512,-34.5876994698703,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-047-015",-58.4452321479461,-34.5866213598428,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-059-005",-58.4442357573753,-34.5853780837686,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-009B-013",-58.4500785644421,-34.5883438932488,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"033-017-008",-58.4500879403897,-34.587153305528,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-025-001",-58.4459103229535,-34.5877115645856,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-025-003",-58.4461562579861,-34.5877164310653,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-048-050",-58.445532229124,-34.5862758758177,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-050-001",-58.4482846024938,-34.5843838239741,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-050-010",-58.4490950395069,-34.5840602033168,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-050-015",-58.4491150973921,-34.5846578692929,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-060-049",-58.4451159853622,-34.5847135198381,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-061-036",-58.4467991660038,-34.5840422845121,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-062-009A",-58.4485947428866,-34.5831414113197,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-062-014",-58.4487650419519,-34.5833003611295,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-063-005",-58.4496044359048,-34.5826878882211,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"033-063-006",-58.4497139914518,-34.5826082199268,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-063-016",-58.4493275596717,-34.5833411609943,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-073-001",-58.4446342853714,-34.583275562553,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-073-003",-58.4448713739577,-34.5832813162345,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-073-014",-58.4457393605598,-34.5827995452259,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-073-047A",-58.4449138363273,-34.5835714505022,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-075-011A",-58.4482717782253,-34.58169777625,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-075-005B",-58.4482331380444,-34.5823073228582,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-075-033",-58.4478052054754,-34.5830046851489,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-075-034A",-58.4476936778506,-34.5829987984043,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-075-042A",-58.4475012195278,-34.5823603561143,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-076-002",-58.4488386873821,-34.5816222830134,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"033-076-008",-58.4491437325143,-34.5816981208328,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"033-018-033",-58.4508441721398,-34.5883010271389,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-019-017",-58.4521500036527,-34.5866964874903,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-028-041A",-58.4503786400531,-34.5867326993422,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-029-021",-58.4525281767585,-34.5858728074779,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-039-021",-58.4510809492508,-34.5852515002924,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-041-006C",-58.4524165177047,-34.5846503753006,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-001-012C",-58.4539267247423,-34.5846289049477,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-001-015A",-58.4537287120956,-34.5843668409264,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-052-011J",-58.4508188711647,-34.583652174342,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-053-006B",-58.4520678668038,-34.5826808992686,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-053-015",-58.4524131084855,-34.5833622571669,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-064-013",-58.4509716130284,-34.5828062778765,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-065-011",-58.4517323059132,-34.5824038231178,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-077-008",-58.4499709006288,-34.5813704300889,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-077-016",-58.4504424162597,-34.5819102225128,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-077-023",-58.4499149311619,-34.5822124856657,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-078-005",-58.4507680104755,-34.5807724608908,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"033-078-015",-58.4512229311716,-34.5814046401727,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-005-017",-58.4529207671766,-34.5829701708988,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-010-000C",-58.4539554210102,-34.5814409557009,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"037-015-002",-58.4515940341061,-34.5805989467574,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-015-011A",-58.4523955165743,-34.581011312037,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"049-159-004",-58.4602186988217,-34.5833212189061,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-159-019",-58.4594350003482,-34.583927351046,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-160-001",-58.4603220618189,-34.5819812962785,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-160-017",-58.458937147479,-34.5828587464048,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-168-008",-58.4575970245701,-34.5832255152872,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-176-014",-58.4553234017451,-34.5839435613319,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-178-020",-58.4544567771198,-34.5852120892727,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-178-021",-58.4542313916629,-34.5851984412418,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-178-028",-58.4546956796412,-34.5847614955074,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-008-014",-58.4566842466552,-34.5818865803767,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"037-012-026",-58.4559965812419,-34.5804886291651,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-163-023C",-58.4593400094111,-34.5801597640168,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-165-001A",-58.4603055376068,-34.5784977715987,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-165-001D",-58.4602109184361,-34.5785768613497,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-165-004",-58.4602659396496,-34.5789238550243,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-165-025",-58.4599857215884,-34.5789387400895,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"049-178-016",-58.4545492016057,-34.5855603400583,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-007-020",-58.4785395104774,-34.5994559528712,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"061-009-001",-58.4769013935174,-34.5972539478853,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"069-102-006A",-58.4756899048079,-34.6007232697175,"HOTELERIA Y GASTRONOMIA","HOTELERIA"
"059-014-025A",-58.4723743499393,-34.6027378626097,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-030-043",-58.4704005342463,-34.6013160361158,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-046-026",-58.4698676073482,-34.6023034464901,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-046-027",-58.4698057456815,-34.6022434038093,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-047-028",-58.4690039821896,-34.6016317433778,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"069-093-025",-58.4735308315124,-34.6048216493845,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"069-096-001A",-58.4727279980412,-34.6025934514445,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-057-021B",-58.4687060215991,-34.6016782492821,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-057-030",-58.4676632995651,-34.6017972560189,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-059-004",-58.4669906457095,-34.599007015296,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"059-059-040",-58.4667210854891,-34.599127156806,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
